start	end	text
0	12000	Music
12000	14000	Yeah
14000	16000	Three thumbs down for my AVP
16000	18000	Three point five just to hear me sleep
18000	20000	I do like Joelle and me
20000	22000	She'll never ever get a ring for me
22000	24000	She on my line like we got a thunk on her
24000	26000	I don't know that it can't be deep
26000	28000	Ten hall bounds a tap of the shelf on her
28000	30000	Damn, I'm key
30000	32000	I don't think that she want me for me
32000	34000	Damn, am I tweaking?
34000	36000	All my little hide and yell
36000	38000	Quiet it down, I ain't lie to you
38000	40000	You get proud of it, times of it's profit if all
40000	42000	Tide and yell, I ain't flying with your love
42000	44000	Die for us, think to the quiet all
44000	46000	No, I ain't going for it, no
46000	48000	I don't know no, I just got all my days on my lungs some
48000	50000	I ain't going to bed to this globe
50000	52000	It's all all in my chest, it is closed
52000	54000	Get cold as December when I'm closed
54000	56000	It's a feet 12 inch, I don't go slow
56000	58000	Damn, just hold on
58000	60000	I better go out of here for me
60000	64000	Damn, I better run with her and I don't care
64000	66000	Damn, are you telling my side off?
66000	70000	God damn, you know I got, you know I got all my days on me
70000	72000	Three thumbs down for my every feet
72000	74000	Three point five just to help me sleep
74000	76000	I do like Joelle and me
76000	78000	She'll never ever get a ring for me
78000	80000	She on my line like we got a thunk on her
80000	82000	I don't know that it can't be deep
82000	84000	Ten hall bounds a tap of the shelf on her
84000	86000	Cause but it can't be cheap
86000	88000	Damn, I don't keep, I don't think that she want me for me
88000	90000	Damn, am I sweet?
90000	92000	Or am I low high to y'all?
92000	94000	Quiet it down, I ain't lying to y'all
94000	96000	You get proud of it, times of it's profit if all
96000	98000	High to y'all lying, flying with y'all
98000	100000	Down for a stick to the quiet all
100000	102000	I don't got much left, I'm talking all about myself
102000	106000	I know what's right was wrong, I got sound got much less
106000	108000	Let's get a little more hot
108000	110000	Run me out ill put the windows down
110000	112000	Run around telling that I'm my guy
112000	114000	Way in the head that you get different
114000	116000	What's it get this fun?
116000	118000	Like can I get this time?
118000	120000	I have six grams in there
120000	122000	I think I could get this hot
122000	124000	I don't think I'm gonna risk this one
124000	126000	The yolks ain't worth 50 bucks
126000	128000	You really miss me huh?
128000	130000	Didn't it feel real for once?
130000	132000	Take some time for my heavy feet
132000	134000	Take point five just to help me sleep
134000	136000	I do like Joelle and me
136000	138000	She'll never ever get a ring for me
138000	140000	She on my line like we got a thunk on her
140000	142000	If I'm not the cause but it can't be cheap
144000	146000	I don't say this you want me for me
148000	150000	I don't say this you want me for me
